"","trialnum","subject","numObjects","startSpeed","direction","thresh","trackTargetNum","trackRing","timingBlips","exp","ecc","device","chanceRate"
"59",10,"WU",2,2.5,"CW",2.35,1,2,1,1,4.5,"CRT",0.5
"60",11,"WU",2,2.5,"CW",2.3,1,3,1,1,12,"CRT",0.5
"61",12,"WU",2,0.5,"CW",2.15,1,3,1,1,12,"CRT",0.5
"62",13,"WU",2,0.5,"CW",2.05,1,2,2,1,4.5,"CRT",0.5
"63",14,"WU",2,2.5,"CCW",2.2,1,3,1,1,12,"CRT",0.5
"64",15,"WU",2,2.5,"CCW",2.05,1,2,1,1,4.5,"CRT",0.5
"65",0,"YP",2,0.5,"CCW",2.35,1,2,2,1,4.5,"CRT",0.5
"66",1,"YP",2,0.5,"CCW",2.2,1,3,1,1,12,"CRT",0.5
"67",2,"YP",2,2.5,"CW",2.4,1,2,1,1,4.5,"CRT",0.5
"68",3,"YP",2,2.5,"CW",2.35,1,3,1,1,12,"CRT",0.5
"69",4,"YP",2,0.5,"CW",2.2,1,3,1,1,12,"CRT",0.5
"70",5,"YP",2,0.5,"CW",2.35,1,2,1,1,4.5,"CRT",0.5
"71",6,"YP",2,2.5,"CCW",2.4,1,3,1,1,12,"CRT",0.5
"72",7,"YP",2,2.5,"CCW",2.5,1,2,1,1,4.5,"CRT",0.5
"73",8,"YP",3,0.5,"CCW",2,1,2,1,1,4.5,"CRT",0.333333333333333
"74",9,"YP",3,0.5,"CCW",1.65,1,3,1,1,12,"CRT",0.333333333333333
"75",10,"YP",3,2.5,"CW",2,1,2,1,1,4.5,"CRT",0.333333333333333
"76",11,"YP",3,2.5,"CW",2.15,1,3,1,1,12,"CRT",0.333333333333333
"77",12,"YP",3,0.5,"CW",1.8,1,3,1,1,12,"CRT",0.333333333333333
"78",13,"YP",3,0.5,"CW",1.95,1,2,1,1,4.5,"CRT",0.333333333333333
"79",14,"YP",3,2.5,"CCW",1.95,1,3,1,1,12,"CRT",0.333333333333333
"80",15,"YP",3,2.5,"CCW",2,1,2,1,1,4.5,"CRT",0.333333333333333
"81",0,"BV",3,0.5,"CCW",1.9,1,2,2,1,4.5,"CRT",0.333333333333333
"82",1,"BV",3,0.5,"CCW",1.85,1,3,1,1,12,"CRT",0.333333333333333
"83",2,"BV",3,2.5,"CW",1.85,1,2,1,1,4.5,"CRT",0.333333333333333
"84",3,"BV",3,2.5,"CW",1.4,1,3,1,1,12,"CRT",0.333333333333333
"85",4,"BV",3,0.5,"CW",1.4,1,3,1,1,12,"CRT",0.333333333333333
"86",5,"BV",3,0.5,"CW",1.55,1,2,1,1,4.5,"CRT",0.333333333333333
"87",6,"BV",3,2.5,"CCW",1.9,1,3,1,1,12,"CRT",0.333333333333333
"88",7,"BV",3,2.5,"CCW",2,1,2,1,1,4.5,"CRT",0.333333333333333
"89",8,"BV",2,0.5,"CCW",1.95,1,2,1,1,4.5,"CRT",0.5
"90",9,"BV",2,0.5,"CCW",2.05,1,3,1,1,12,"CRT",0.5
"91",10,"BV",2,2.5,"CW",2.15,1,2,1,1,4.5,"CRT",0.5
"92",11,"BV",2,2.5,"CW",2.1,1,3,1,1,12,"CRT",0.5
"93",12,"BV",2,0.5,"CW",1.95,1,3,1,1,12,"CRT",0.5
"94",13,"BV",2,0.5,"CW",2.05,1,2,1,1,4.5,"CRT",0.5
"95",14,"BV",2,2.5,"CCW",2.1,1,3,1,1,12,"CRT",0.5
"96",15,"BV",2,2.5,"CCW",2.1,1,2,1,1,4.5,"CRT",0.5
"97",0,"BHU",3,0.5,"CCW",1.6,1,2,2,1,4.5,"CRT",0.333333333333333
"98",1,"BHU",3,0.5,"CCW",1.75,1,3,1,1,12,"CRT",0.333333333333333
"99",2,"BHU",3,2.5,"CW",1.65,1,2,1,1,4.5,"CRT",0.333333333333333
"100",3,"BHU",3,2.5,"CW",1.65,1,3,1,1,12,"CRT",0.333333333333333
"101",4,"BHU",3,0.5,"CW",1.65,1,3,1,1,12,"CRT",0.333333333333333
"102",5,"BHU",3,0.5,"CW",1.7,1,2,1,1,4.5,"CRT",0.333333333333333
"103",6,"BHU",3,2.5,"CCW",1.7,1,3,1,1,12,"CRT",0.333333333333333
"104",7,"BHU",3,2.5,"CCW",1.8,1,2,1,1,4.5,"CRT",0.333333333333333
"105",8,"BHU",2,0.5,"CCW",2.2,1,2,1,1,4.5,"CRT",0.5
"106",9,"BHU",2,0.5,"CCW",1.9,1,3,1,1,12,"CRT",0.5
"107",10,"BHU",2,2.5,"CW",2.15,1,2,1,1,4.5,"CRT",0.5
"108",11,"BHU",2,2.5,"CW",2.15,1,3,1,1,12,"CRT",0.5
"109",12,"BHU",2,0.5,"CW",1.95,1,3,1,1,12,"CRT",0.5
"110",13,"BHU",2,0.5,"CW",1.95,1,2,1,1,4.5,"CRT",0.5
"111",14,"BHU",2,2.5,"CCW",2.05,1,3,1,1,12,"CRT",0.5
"112",15,"BHU",2,2.5,"CCW",2.1,1,2,1,1,4.5,"CRT",0.5
"113",0,"CB",2,0.5,"CCW",1.8,1,2,2,1,4.5,"CRT",0.5
"114",1,"CB",2,0.5,"CCW",1.7,1,3,1,1,12,"CRT",0.5
"115",2,"CB",2,2.5,"CW",2,1,2,1,1,4.5,"CRT",0.5
"116",3,"CB",2,2.5,"CW",1.5,1,3,1,1,12,"CRT",0.5
"117",4,"CB",2,0.5,"CW",1.4,1,3,1,1,12,"CRT",0.5
"118",5,"CB",2,0.5,"CW",1.8,1,2,1,1,4.5,"CRT",0.5
"119",6,"CB",2,2.5,"CCW",1.6,1,3,1,1,12,"CRT",0.5
"120",7,"CB",2,2.5,"CCW",1.5,1,2,1,1,4.5,"CRT",0.5
"121",8,"CB",3,0.5,"CCW",0.8,1,2,1,1,4.5,"CRT",0.333333333333333
"122",9,"CB",3,0.5,"CCW",1,1,3,1,1,12,"CRT",0.333333333333333
"123",10,"CB",3,2.5,"CW",1.3,1,2,1,1,4.5,"CRT",0.333333333333333
"124",11,"CB",3,2.5,"CW",1.1,1,3,1,1,12,"CRT",0.333333333333333
"125",12,"CB",3,0.5,"CW",1,1,3,1,1,12,"CRT",0.333333333333333
"126",13,"CB",3,0.5,"CW",1.1,1,2,1,1,4.5,"CRT",0.333333333333333
"127",14,"CB",3,2.5,"CCW",0.9,1,3,1,1,12,"CRT",0.333333333333333
"128",15,"CB",3,2.5,"CCW",1,1,2,1,1,4.5,"CRT",0.333333333333333
"129",0,"FHL",2,0.5,"CCW",1.65,1,2,2,1,4.5,"CRT",0.5
"130",1,"FHL",2,0.5,"CCW",1.6,1,3,1,1,12,"CRT",0.5
"131",2,"FHL",2,2.5,"CW",1.65,1,2,1,1,4.5,"CRT",0.5
"132",3,"FHL",2,2.5,"CW",1.65,1,3,1,1,12,"CRT",0.5
"133",4,"FHL",2,0.5,"CW",1.55,1,3,1,1,12,"CRT",0.5
"134",5,"FHL",2,0.5,"CW",1.65,1,2,1,1,4.5,"CRT",0.5
"135",6,"FHL",2,2.5,"CCW",1.75,1,3,1,1,12,"CRT",0.5
"136",7,"FHL",2,2.5,"CCW",1.75,1,2,1,1,4.5,"CRT",0.5
"137",8,"FHL",3,0.5,"CCW",1.35,1,2,1,1,4.5,"CRT",0.333333333333333
"138",9,"FHL",3,0.5,"CCW",1.25,1,3,1,1,12,"CRT",0.333333333333333
"139",10,"FHL",3,2.5,"CW",1.35,1,2,1,1,4.5,"CRT",0.333333333333333
"140",11,"FHL",3,2.5,"CW",1.35,1,3,1,1,12,"CRT",0.333333333333333
"141",12,"FHL",3,0.5,"CW",1.2,1,3,1,1,12,"CRT",0.333333333333333
"142",13,"FHL",3,0.5,"CW",1.4,1,2,1,1,4.5,"CRT",0.333333333333333
"143",14,"FHL",3,2.5,"CCW",1.35,1,3,1,1,12,"CRT",0.333333333333333
"144",15,"FHL",3,2.5,"CCW",1.55,1,2,1,1,4.5,"CRT",0.333333333333333
"145",NA,"JQ",2,NA,"CCW",2.2,NA,1,NA,2,12,"Spinzter",0.5
"210",NA,"FHL",2,NA,"CCW",1.8,NA,1,NA,2,12,"Spinzter",0.5
"310",NA,"YP",2,NA,"CCW",2.2,NA,1,NA,2,12,"Spinzter",0.5
"410",NA,"QJ",2,NA,"CCW",2.075,NA,1,NA,2,12,"Spinzter",0.5
"510",NA,"BHU",2,NA,"CCW",1.9,NA,1,NA,2,12,"Spinzter",0.5
"610",NA,"VJ",2,NA,"CCW",2.1,NA,1,NA,2,12,"Spinzter",0.5
"710",NA,"WU",2,NA,"CCW",2.5,NA,1,NA,2,12,"Spinzter",0.5
"810",NA,"BV",2,NA,"CCW",2.275,NA,1,NA,2,12,"Spinzter",0.5
"910",NA,"CB",2,NA,"CCW",2.175,NA,1,NA,2,12,"Spinzter",0.5
"1010",NA,"JQ",2,NA,"CCW",2.15,NA,1,NA,2,4.5,"Spinzter",0.5
"1110",NA,"FHL",2,NA,"CCW",1.875,NA,1,NA,2,4.5,"Spinzter",0.5
"1210",NA,"YP",2,NA,"CCW",2.35,NA,1,NA,2,4.5,"Spinzter",0.5
"1310",NA,"QJ",2,NA,"CCW",2.075,NA,1,NA,2,4.5,"Spinzter",0.5
"146",NA,"BHU",2,NA,"CCW",2.2,NA,1,NA,2,4.5,"Spinzter",0.5
"151",NA,"VJ",2,NA,"CCW",2.35,NA,1,NA,2,4.5,"Spinzter",0.5
"161",NA,"WU",2,NA,"CCW",2.725,NA,1,NA,2,4.5,"Spinzter",0.5
"171",NA,"BV",2,NA,"CCW",2.375,NA,1,NA,2,4.5,"Spinzter",0.5
"181",NA,"CB",2,NA,"CCW",2.275,NA,1,NA,2,4.5,"Spinzter",0.5
"191",NA,"JQ",3,NA,"CCW",1.775,NA,1,NA,2,12,"Spinzter",0.333333333333333
"201",NA,"FHL",3,NA,"CCW",1.5,NA,1,NA,2,12,"Spinzter",0.333333333333333
"211",NA,"YP",3,NA,"CCW",1.775,NA,1,NA,2,12,"Spinzter",0.333333333333333
"221",NA,"QJ",3,NA,"CCW",1.625,NA,1,NA,2,12,"Spinzter",0.333333333333333
"231",NA,"BHU",3,NA,"CCW",1.625,NA,1,NA,2,12,"Spinzter",0.333333333333333
"241",NA,"VJ",3,NA,"CCW",1.775,NA,1,NA,2,12,"Spinzter",0.333333333333333
"251",NA,"WU",3,NA,"CCW",1.95,NA,1,NA,2,12,"Spinzter",0.333333333333333
"261",NA,"BV",3,NA,"CCW",1.95,NA,1,NA,2,12,"Spinzter",0.333333333333333
"271",NA,"CB",3,NA,"CCW",1.825,NA,1,NA,2,12,"Spinzter",0.333333333333333
"281",NA,"JQ",3,NA,"CCW",1.8,NA,1,NA,2,4.5,"Spinzter",0.333333333333333
"291",NA,"FHL",3,NA,"CCW",1.65,NA,1,NA,2,4.5,"Spinzter",0.333333333333333
"301",NA,"YP",3,NA,"CCW",2.05,NA,1,NA,2,4.5,"Spinzter",0.333333333333333
"311",NA,"QJ",3,NA,"CCW",1.675,NA,1,NA,2,4.5,"Spinzter",0.333333333333333
"321",NA,"BHU",3,NA,"CCW",1.675,NA,1,NA,2,4.5,"Spinzter",0.333333333333333
"331",NA,"VJ",3,NA,"CCW",1.975,NA,1,NA,2,4.5,"Spinzter",0.333333333333333
"341",NA,"WU",3,NA,"CCW",2.15,NA,1,NA,2,4.5,"Spinzter",0.333333333333333
"351",NA,"BV",3,NA,"CCW",1.95,NA,1,NA,2,4.5,"Spinzter",0.333333333333333
"361",NA,"CB",3,NA,"CCW",1.8,NA,1,NA,2,4.5,"Spinzter",0.333333333333333
